Riga, RIX, Air Baltic, BT, 400, 9:10, 1234560, 30.10.2017 24.03.2018
Riga, RIX, Ukraine International Airlines, PS, 186, 13:10, 1030507, 29.10.2017 23.03.2018
Riga, RIX, Air Baltic, BT, 402, 14:40, 1234000, 30.10.2017 04.01.2018
Riga, RIX, Ukraine International Airlines, PS, 186, 18:35, 0204060, 31.10.2017 24.03.2018
Riga, RIX, Air Baltic, BT, 404, 20:05, 1234507, 29.10.2017 23.03.2018
Rome, FCO, Ukraine International Airlines, PS, 308, 8:15, 0200560, 31.10.2017 24.03.2018
Rome, FCO, Ukraine International Airlines, PS, 306, 16:55, 1234567, 29.10.2017 24.03.2018
Salzburg, SZG, Ukraine International Airlines, PS, 826, 16:40, 0200000, 02.01.2018 09.01.2018
Salzburg, SZG, Ukraine International Airlines, PS, 826, 16:50, 0000060, 06.01.2018 13.01.2018
Sharjah, SHJ, Air Arabia, G9, 260, 12:45, 0200507, 29.10.2017 23.03.2018
Sofia, SOF, WINDROSE, 7W, 756, 14:00, 1234567, 29.10.2017 24.03.2018
Stockholm, ARN, Ukraine International Airlines, PS, 174, 8:30, 0230500, 31.10.2017 23.03.2018
Tallinn, TLL, LOT Polish Airlines, LO, 8311, 15:10, 1234500, 30.10.2017 19.03.2018
Tbilisi, TBS, Ukraine International Airlines, PS, 518, 7:50, 1000000, 08.01.2018 19.03.2018
Tbilisi, TBS, Georgian Airways, A9, 757, 16:30, 1204567, 29.10.2017 24.03.2018
Tbilisi, TBS, Ukraine International Airlines, PS, 516, 18:20, 0234567, 29.10.2017 24.03.2018
Tehran, IKA, Ukraine International Airlines, PS, 752, 8:00, 0034560, 01.11.2017 24.03.2018
Tel Aviv, TLV, Ukraine International Airlines, PS, 782, 2:35, 0000007, 05.11.2017 18.03.2018
Tel Aviv, TLV, YANAIR, YE, 334, 7:00, 0000007, 12.11.2017 18.03.2018
Tel Aviv, TLV, Ukraine International Airlines, PS, 778, 8:40, 1234567, 29.10.2017 06.02.2018
Tel Aviv, TLV, YANAIR, YE, 334, 9:30, 0000007, 12.11.2017 18.03.2018
Tel Aviv, TLV, EL AL, LY, 2651, 9:55, 1234007, 29.10.2017 22.03.2018
Tel Aviv, TLV, Ukraine International Airlines, PS, 772, 11:00, 1000000, 30.10.2017 25.12.2017
Tel Aviv, TLV, YANAIR, YE, 334, 13:20, 0004000, 16.11.2017 22.03.2018
Tel Aviv, TLV, Ukraine International Airlines, PS, 776, 17:15, 1234567, 29.10.2017 24.03.2018
Tel Aviv, TLV, Ukraine International Airlines, PS, 780, 18:40, 1234507, 29.10.2017 23.03.2018
Tel Aviv, TLV, EL AL, LY, 2653, 21:55, 0000007, 12.11.2017 18.03.2018
Venice, VCE, Ukraine International Airlines, PS, 336, 18:10, 1004060, 30.10.2017 24.03.2018
Vienna, VIE, Austrian Airlines, OS, 661, 12:40, 1030000, 15.11.2017 21.03.2018
Vienna, VIE, Ukraine International Airlines, PS, 848, 18:20, 1034507, 29.10.2017 23.03.2018
Vienna, VIE, Austrian Airlines, OS, 667, 0:15, 1234060, 02.01.2018 15.01.2018
Vilnius, VNO, Ukraine International Airlines, PS, 184, 8:35, 0234567, 29.10.2017 24.03.2018
Vilnius, VNO, Ukraine International Airlines, PS, 178, 12:45, 1000567, 29.10.2017 24.03.2018
Vilnius, VNO, Ukraine International Airlines, PS, 182, 18:25, 0234000, 31.10.2017 22.03.2018
Warsaw, WAW, Ukraine International Airlines, PS, 804, 8:20, 0234567, 29.10.2017 24.03.2018
Warsaw, WAW, Ukraine International Airlines, PS, 802, 13:35, 1034060, 30.10.2017 24.03.2018
Warsaw, WAW, LOT Polish Airlines, LO, 751, 14:05, 0034560, 02.11.2017 24.03.2018
Warsaw, WAW, LOT Polish Airlines, LO, 753, 17:10, 0004507, 02.11.2017 11.01.2018
Warsaw, WAW, LOT Polish Airlines, LO, 753, 17:10, 0004507, 21.01.2018 26.01.2018
Warsaw, WAW, Ukraine International Airlines, PS, 802, 18:35, 0200507, 29.10.2017 23.03.2018
Yerevan, EVN, Ukraine International Airlines, PS, 612, 6:05, 0234567, 29.10.2017 24.03.2018
Yerevan, EVN, Ukraine International Airlines, PS, 614, 17:15, 0200567, 29.10.2017 24.03.2018
Zaporozhye, OZH, Ukraine International Airlines, PS, 86, 7:40, 0234567, 29.10.2017 24.03.2018
Zaporozhye, OZH, Ukraine International Airlines, PS, 88, 17:10, 1234567, 29.10.2017 24.03.2018
Zurich, ZRH, Ukraine International Airlines, PS, 472, 17:05, 1234567, 29.10.2017 24.03.2018
