Vienna, VIE, Austrian Airlines, OS, 662, 13:20, 1030000, 15.11.2017 21.03.2018
Vienna, VIE, Ukraine International Airlines, PS, 8451, 9:25, 0234560, 31.10.2017 24.03.2018
Vienna, VIE, Ukraine International Airlines, PS, 847, 13:50, 1034507, 29.10.2017 23.03.2018
Vilnius, VNO, Ukraine International Airlines, PS, 177, 9:25, 1000567, 29.10.2017 24.03.2018
Vilnius, VNO, Ukraine International Airlines, PS, 181, 14:55, 0234000, 31.10.2017 22.03.2018
Vilnius, VNO, Ukraine International Airlines, PS, 183, 19:35, 1234560, 30.10.2017 24.03.2018
Warsaw, WAW, LOT Polish Airlines, LO, 7521, 14:50, 1000007, 01.01.2018 19.03.2018
Warsaw, WAW, LOT Polish Airlines, LO, 7521, 14:50, 0034560, 02.11.2017 24.03.2018
Warsaw, WAW, LOT Polish Airlines, LO, 754, 17:55, 1000000, 01.01.2018 19.03.2018
Warsaw, WAW, Ukraine International Airlines, PS, 801, 9:45, 1034060, 30.10.2017 24.03.2018
Warsaw, WAW, Ukraine International Airlines, PS, 803, 20:00, 1234560, 30.10.2017 24.03.2018
Yerevan, EVN, Ukraine International Airlines, PS, 613, 10:15, 0200567, 29.10.2017 24.03.2018
Yerevan, EVN, Ukraine International Airlines, PS, 611, 21:10, 1234560, 30.10.2017 24.03.2018
Zaporozhye, OZH, Ukraine International Airlines, PS, 87, 10:35, 1234567, 29.10.2017 24.03.2018
Zaporozhye, OZH, Ukraine International Airlines, PS, 85, 20:10, 1230500, 30.10.2017 23.03.2018
Zurich, ZRH, Ukraine International Airlines, PS, 471, 10:30, 1234567, 29.10.2017 24.03.2018
